app_id,app_name,category,rating,reviews,installs,price,review_length,word_count
app_0,WhatsApp,Productivity,3.0,"Decent, but needs more features.",2689086,0.0,5,5
app_1,Spotify,Communication,2.2,Fast and smooth experience!,9334540,0.0,4,4
app_2,Instagram,Music,4.0,"Lots of ads, makes it hard to use.",7133289,0.0,8,8
app_3,Zoom,Entertainment,1.9,Pretty good but needs improvement in UI.,4863893,0.0,7,7
app_4,Instagram,Entertainment,1.8,Fast and smooth experience!,6613123,0.0,4,4
app_5,WhatsApp,Entertainment,4.1,Best app I have ever used!,5691963,0.0,6,6
app_6,Zoom,Productivity,2.7,Great app! Love the features and easy to use.,4689702,0.0,9,9
app_7,Twitter,Social,3.8,"Terrible experience, too many bugs and crashes.",4033126,0.0,7,7
app_8,Instagram,Music,2.3,Good but customer support is unresponsive.,7796839,0.0,6,6
app_9,Zoom,Social,3.3,"Decent, but needs more features.",3359285,0.0,5,5
app_10,Instagram,Music,1.4,Amazing! Highly recommended.,222404,0.0,3,3
app_11,Snapchat,Entertainment,1.0,Best app I have ever used!,2578535,0.0,6,6
app_12,Instagram,Entertainment,5.0,"Terrible experience, too many bugs and crashes.",7478776,0.0,7,7
app_13,Zoom,Music,1.2,"Decent, but needs more features.",866155,0.0,5,5
app_14,Instagram,Productivity,1.4,Amazing! Highly recommended.,9404615,0.0,3,3
app_15,Twitter,Entertainment,1.8,"Decent, but needs more features.",8500838,0.0,5,5
app_16,WhatsApp,Social,1.3,Best app I have ever used!,1968416,7.73,6,6
app_17,Instagram,Productivity,1.8,"Decent, but needs more features.",5692368,0.0,5,5
app_18,Gmail,Productivity,4.3,"Terrible experience, too many bugs and crashes.",5283850,9.58,7,7
app_19,Netflix,Music,1.6,"Decent, but needs more features.",32518,0.0,5,5
app_20,Gmail,Music,4.0,Good but customer support is unresponsive.,2340008,0.0,6,6
app_21,Spotify,Entertainment,1.7,"Lots of ads, makes it hard to use.",3951806,8.94,8,8
app_22,TikTok,Entertainment,2.7,"Terrible experience, too many bugs and crashes.",4456300,9.68,7,7
app_23,Gmail,Productivity,1.7,Pretty good but needs improvement in UI.,9006662,0.0,7,7
app_24,Gmail,Social,1.6,Pretty good but needs improvement in UI.,2786692,6.27,7,7
app_25,Spotify,Music,1.4,"Not worth the money, very slow.",7653375,0.0,6,6
app_26,WhatsApp,Music,3.0,Pretty good but needs improvement in UI.,8846278,7.38,7,7
app_27,Instagram,Music,1.4,"Lots of ads, makes it hard to use.",4722474,0.0,8,8
